Input.sentence,Input.emphasize,Answer.rewrite
He and Mr. Roderick were even dining out together,dining,The dining out together was by Mr Roderick and him
Veiling his message has helped him endure,endure,Enduring is what veiling his message has helped him do
Some other fare promotions have backfired,backfired,Backfiring is what some other fare promotions have done
The work was done properly he said,said,The saying that the work was done properly came from him
He 's running for governor,running,Running for governor was he
Chief executives and presidents had come and gone,come,Coming and going is what chief executives and presidents had done
Sotheby 's has been aggressively promoting the Dorrance sale,promoting,The promoting of the Dorrance sale has been done aggressively by Sothebys
That has outraged some fans,outraged,Outraging some fans is what that has done
A spokesman cited a technical error and declined to elaborate,cited,Citing a technical error was a spokesman who declined to elaborate
I 'm talking about landing in a canal,talking,Talking about landing in a canal is what I am doing
That will spur Tandem 's growth,spur,Spurring Tandem 's growth is what that will do
Shrubs and flowers give it a pleasing and non-fortress-like appearance,give,Giving it a pleasing and non-fortress-like appearance is what shrubs and flowers do
The index fell 109.85 Monday,fell,Falling 109.85 Monday is what the index did
We 've got a lot to do he acknowledged,do,Doing a lot is what we have got to do he acknowledged
We do n't need the cash,need,The needing of cash is not by us
They saw an opportunity created by the sell-off,saw,Seeing an opportunity created by the sell-off is what they did
A disastrous farce in Malaysia screamed the Manchester Guardian,screamed,The screaming of a disastrous farce in Malaysia was done by the Manchester Guardian
The takeover mania also adds to volatility,adds,The adding of volatility is caused by the takeover mania
Terms on both deals were n't disclosed,disclosed,Disclosing of terms on both deals was not done
The farmer at the next truck shouts Wheat,shouts,The shouting of Wheat is done by the farmer at the next truck
Other mutual fund companies reported even lighter withdrawal requests,reported,The reporting of even lighter withdrawal requests came from other mutual fund companies
Integrated made its announcement after the market closed,closed,The closing of the market is when Integrated made its announcement
And ad agencies insist that they do,insist,And insisting that they do are ad agencies
The earnings drop had been expected,expected,The expecting was for the earnings drop
You have to be born with it,born,The birthing of you is when it should be acquired
Mr. Glazer could n't immediately be reached to comment,reached,The reaching of Mr. Glazer for comment couldn't be done immediately
Sales rose 50 % to 2.1 billion from 1.4 billion,rose,The rising of sales of 50 percent was 1.4 billion to 2.1 billion
That division 's manager has been fired,fired,The firing of the manager was from that division
Bids totaling 475 million were submitted,submitted,The submission was of bids totaling 475 million
The value of the transaction was n't disclosed,disclosed,Disclosure of the value of the transaction was not done
It 's hard to know if people are responding truthfully,responding,A response that's truthful is something that's hard to know if people are giving
Medstone International plummeted 3 1\/4 to 7 1\/4,plummeted,Plummeting 3 1\/4 to 7 1\/4 was Medstone International
They want to do more,do,Doing more is what they want
Those enterprises however are not going to be privatized,privatized,Privatization is what those enterprises however are not going to be doing
Afterwards I went home and practiced for three hours,practiced,Practicing for three hours was what I did when I went home afterwards
I would n't expect an immediate resolution to anything,expect,The expecting of an immediate resolution to anything is not something I would do
Mr. Kageyama is accurate to deny a specific anti-American bias,deny,Denying a specific anti-American bias is what Mr. Kageyama is accurate to do
Nissan will introduce a completely revamped Sentra next fall,introduce,Introduction of a completely revamped Sentra next fall will be done by Nissan
"Spending by Japanese households averaged 290,782 yen 2,052.10 in August",averaged,"Averaging 290,782 yen 2,052.10 in August was spending by Japanese households"
Revenue rose slightly to 3.8 billion from 3.7 billion,rose,Rising slightly to 3.8 billion from 3.7 billion was revenue
The apparel maker would n't disclose terms of the agreement,disclose,Disclosure of terms of the agreement is something the apparel maker would not do
CBS Sports earned 50 million or so last year,earned,Earning 50 million or so last year was CBS Sports
Cincinnati Bell Inc. said net declined 1.8 %,said,Saying that net declined 1.8 % was Cincinnati Bell Inc
A decision is n't expected until some time next year,expected,The expecting of the decision will not occur until some time next year
Says Mr. Steidtmann I 'm looking for a bi-polar Christmas,Says,Saying I 'm looking for a bi-polar Christmas was what Mr. Steidtmann did
Put these together and you get programs about rape,get,Getting programs about rape is what happens when you put these together
Sales rose 11 % to 7.73 billion from 6.94 billion,rose,The rising of sales was 11 percent from 6.94 billion to 7.73 billion
Previously the company advertised at the 2 million level,advertised,Advertising at the 2 million level is what the company previously did
Mr. Bass is based in Fort Worth,based,Basing in Fort Worth is what Mr Bass does
Nashua announced the Reiss request after the market closed,closed,The closing of the market was when Nashua announced the Reiss request
In another sign of slowdown fears investors dumped technology shares,dumped,Dumping technology shares is what investors did in another sign of slowdown fears
When it went down by all tradition the economy followed,followed,The following of the economy was when it went down by all tradition
Working with lawyers she says I need it,Working,N/A
Mr. Ahmad 's lawyer said he would appeal,said,The statement that he would appeal came from Mr. Ahmad's lawyer
The dollar rose against the Swiss and French francs,rose,Rising against the Swiss and French francs was the dollar
The economy is showing signs of weakness particularly among manufacturers,showing,A show of signs of weakness is what the economy is doing particularly among manufacturers
White children empty the wastepaper baskets and squeegee the windows,squeegee,Squeegeeing of the windows is done by white children who empty the wastepaper baskets
The work was done properly he said,done,The doing of the work was proper he said
The December contract declined 1.85 cents a pound to 1.2645,declined,Declining 1.85 cents a pound to 1.2645 was what the December contract did
Mr. Baker promises to return if the haunting continues,promises,Promising to return if the haunting continues was Mr Baker
Dr. Lourie says the Justice Department interviewed him last July,interviewed,The interviewing of Dr Lourie was by the Justice Department last July
Cathay officials decline to comment on the speculation,decline,Declining to comment on the speculation is what Cathay officials did
Both took further hits yesterday,took,Taking further hits yesterday were both of them
Proceeds from those sales will be used to reduce debt,used,Using proceeds from those sales to reduce debt is what will be done
Many economists expect the weakness to continue,expect,The expecting of the weakness to continue is felt by many economists
I think you have to give Greenspan a good rating,give,Giving Greenspan a good rating is something I think you have to do
The fundamentals are pretty strong Mr. Dreman says,says,Saying The fundamentals are pretty strong is Mr Dreman
Sir Richard succeeds John Plastow who resigned in July,resigned,Resigning in July was John Plastow who Sir Richard succeeds
A side porch was ripped away,ripped,Ripping away is what happened to a side porch
The issue will be sold through Morgan Stanley & Co,sold,Selling through Morgan Stanley & Co is what will be done with the issue
Revenue rose 6.4 % to 415.3 million from 390.5 million,rose,Rising 6.4 % to 415.3 million from 390.5 million was revenue
His election increases Ryder 's board to 14 members,increases,Increasing Ryder 's board to 14 members is what his election does
Americans did n't dislike metrics they simply ignored them,did,N/A
You do n't know which way to punch,know,The knowing of which way to punch isn't known
Mr. Barre 's rule is crumbling fast,crumbling,Crumbling fast is what Mr. Barre 's rule is doing
THE SALES PITCH could n't sound better,sound,The sounding of the sales pitch could not have been better
Polymerix makes lumber-like materials that it describes as plastic wood,describes,The describing of it as plastic wood is done by Polymerix who makes lumber like materials
Veiling his message has helped him endure,helped,Helping him endure is what veiling his message has done
Mr. Baker promises to return if the haunting continues,continues,The continuation of the haunting will cause Mr Baker to return he promises
When stocks stabilized that was a disappointment,stabilized,The stabilizing of stocks was a disappointment
Qintex 's 1.5 billion pact to buy MGM\/UA collapsed recently,buy,The buying of MGMVUA by Qintex through a 1.5 billion pact collapsed recently
Mr. Bush returned to Washington Saturday night,returned,Returning to Washington Saturday night was what Mr Bush did
The second factor spurring mega-issues is political,spurring,The spurring of mega issues from the second factor is political
It 's like fighting your way out of a fog,fighting,Fighting your way out of a fog is what it is like
The last Taxpayer Compliance Measurement Program survey covered 1985 returns,covered,The covering of 1985 returns was done through the last Taxpayer Compliance Measurement Program survey
Analysts predict little or no near-term growth,predict,Prediction of little or no near-term growth was given by analysts
The unions and the company last week agreed to mediation,agreed,Agreeing to mediation is what the unions and the company did last week
The offer expired at 12:01 a.m. yesterday,expired,Expiring at 12:01 AM yesterday is what the offer did
That 'll save us time and get people involved,save,Saving us time and getting people involved is what that will do
Mr. Locke teaches English and comparative literature at Columbia University,teaches,Teaching English and comparative literature at Columbia University is what Mr Locke does
What that will mean for manufacturers is anybody 's guess,mean,The meaning that will have for manufacturers is anybody 's guess
By starving the peasant the Communists have starved Poland,starved,Starving Poland is what the Communists have done by starving the peasant
California Thefts Make Travel Agents Jittery,Make,Making travel agents jittery is what California thefts do
Any fool can publish a money-losing magazine,publish,Publishing a money-losing magazine is something any fool can do
Other furriers have also benefited from leathers,benefited,Benefiting from leathers is what other furriers have also done
Omni Capital Group surged 1 3\/4 to 16 1\/4,surged,The surge of Omni Capital Group was 1 3\/4 to 16 1\/4
These errata do not affect business programs he said,do,N/A
Those enterprises however are not going to be privatized,going,The going of those enterprises is not to be privatized
I still say do n't look down,do,N/A
They showed up but did n't or could n't challenge,showed,Showing up is what they did but they did n't or could n't challenge
Otherwise actual profit is compared with the 300-day estimate,compared,Comparison with the 300-day estimate is otherwise done with actual profit
But Mexico urgently needs more help,needs,But needing more help urgently is Mexico
One big technology issue Novell rode the roller coaster,rode,The riding of the roller coaster by Novell was one big technology issue
Other companies figure they ca n't avoid the market,figure,Figuring they ca n't avoid the market is what other companies do
The companion tax-exempt funds add 71 billion,add,Adding 71 billion is what the companion tax-exempt funds do
Other temperature data show similar unexplained swings,show,Showing similar unexplained swings is what other temperature data do
He did n't rule out negotiations with Ford however,did,N/A
They 're not there to work out,work,Working out is not what they are there to do
By starving the peasant the Communists have starved Poland,starving,The starving of the peasant has caused the Communists to also starved Poland
General Dynamics closed at 54.875 up 50 cents,closed,Closing at 54.875 up 50 cents is what General Dynamics did
The issue has been simmering for years,simmering,Simmering for years is what the issue has been doing
We wanted them to build a road here he says,wanted,The wanting of them to build a road is here he says
Starting tomorrow I 'm stalking you,Starting,N/A
But the New Jersey U.S. attorney averaged 16,averaged,The averaging of 16 was done by the New Jersey US attorney
However operating profit fell 35 % to 16.4 million,fell,The fall of operating profit however was 35% to 16.4 million
That 'll save us time and get people involved,involved,Involving people and saving time is what that will get us
But steelmakers must also find new markets,find,But finding new markets is what steelmakers must also do
Nor is CBS a shoo-in to get blockbuster ratings,get,The getting of blockbuster ratings is not a shoo in for CBS
The real tragedies occurred elsewhere as we soon found out,found,The finding out of the real tragedies that occurred elsewhere happened soon
Ms. Bartlett would not discuss her garden for this article,discuss,Discussing her garden for this article is something Ms Bartlett would not do
Anne does n't believe in blandness said Ms. Smith,said,Saying that Anne does n't believe in blandness was what Ms Smith did
New trade accords were signed,signed,Signing of new trade accords was done
Per-share net rose to 47.46 yen from 39.31 yen,rose,The rise of the per-share net was from 39.31 yen to 47.46 yen
Call it the we 're too broke to fight defense,Call,The calling of it is the were too broke to fight defense fund
And he yelled out dolce dolce sweet sweet,yelled,And yelling out dolce dolce sweet sweet is what he did
It would n't discuss a price,discuss,Discussing a price is what it would not do
They can be 1 billion plus Mr. Richardson said,said,Saying They can be 1 billion plus is what Mr. Richardson did
Jewelry Makers Copy Cosmetics Sales Ploys,Copy,Copying cosmetics sales ploys is what jewelry makers are doing
As Wall Street strengthened the London trading room went wild,went,The going wild of the London trading room was due to the strengthening of Wall Street
Is this the future of chamber music,Is,N/A
Airborne Freight climbed 1 1\/8 to 38 1\/2,climbed,Climbing 1 1\/8 to 38 1\/2 was Airborne Freight
I just do n't understand it,understand,Understanding it is what I just do not do
With that authority of course goes an unambiguous accountability,goes,Going with that authority of course is an unambiguous accountability
In either case the investor faces three possible outcomes,faces,Facing three possible outcomes in either case is what investors are doing
Is this what the home builders want,Is,N/A
StatesWest asked Mesa to repond by Oct. 31,repond,A response by Oct. 31 was what StatesWest asked Mesa to provide
Jackets may be sold next,sold,Selling next may be jackets
For them it makes all kinds of sense,makes,Making all kinds of sense is what it does for them
Par said it is cooperating in the investigation,said,Saying that it is cooperating in the investigation is what Par did
House Speaker Foley ought to deliver that promise,deliver,The delivering of that promise should be by House Speaker Foley
They always listened but they never acted Mr. Guber says,acted,Acting was something they never did but they always listened Mr. Guber says
And if the Europeans come in they benefit too,come,The coming in by the Europeans could be of benefit to them too
I 've surrendered to the circumstances Mr. Fedders says,surrendered,Surrendering to the circumstances is what I've done Mr. Fedders says
Sales of parts for cars and construction vehicles rose,rose,Rising were sales of parts for cars and construction vehicles
The current quarter he said looks fine,looks,Looking fine is what the current quarter does he said
DPC holds about 7.8 % of Dataproducts ' shares,holds,The holding of Dataproducts shares by the DPC is about 7.8 percent
CALIFORNIA A TREND-SETTER in franchising rules stirs a controversy,franchising,N/A
Dr. Lourie says the Justice Department interviewed him last July,says,Saying that the Justice Department interviewed him last July is what Dr Lourie does
We certainly see an increasing trend toward that she added,increasing,The increasing of the trend towards that is something we certainly see she added
Their opposition helped scare off some Japanese banks,helped,Helping to scare off some Japanese banks is what their opposition did
Kidder Peabody & Co. is trying to struggle back,trying,Trying to struggle back was Kidder Peabody & Co
Anne does n't believe in blandness said Ms. Smith,Anne,N/A
Wall Street is n't avoiding everything connected with paper,avoiding,The avoiding of everything connected with paper is not something Wall Street is doing
Consider Adopting Your Spouse 's Name,Consider,The considering of what to adopt is your spouses name
When it went down by all tradition the economy followed,went,The going down of it was by all tradition and the economy followed
There 's no finger to be pointed she said,said,Saying There 's no finger to be pointed is what she did
Plant lovers who studied the maquette were alarmed,studied,The studying of the maquette alarmed plant lovers
The gene thus can prevent a plant from fertilizing itself,fertilizing,Fertilizing itself is what the gene can thus prevent a plant from doing
They 're getting some major wins she added,added,Adding They 're getting some major wins is what she did
They effectively lead team efforts to reduce cycle time,lead,The leading of team efforts to reduce cycle time was done effectively by them
The Phillips plant makes polyethylene polypropylene and other plastic products,makes,The making of polyethylene polypropylene and other plastic products is done by the Phillips plant
He would agrees the chairman,agrees,Agreeing that he would was the chairman
A spokesman cited a technical error and declined to elaborate,declined,The declining of the elaboration by the spokesman cited a technical error only
The media she says have distorted his personal life,says,Saying The media have distorted his personal life is what she does
But many predicted that the commercial disruption would be short-lived,predicted,But predicting that the commercial disruption would be short-lived is what many did
AN EARTHQUAKE STRUCK Northern California killing more than 50 people,killing,Killing more than 50 people is what an earthquake that struck Northern California did
A Guinness spokesman declined to comment,declined,Declining to comment was a Guinness spokesman
Mr. Bates usually handles day-to-day UAL trading on his own,handles,Handling day-to-day UAL trading on his own is what Mr Bates usually does
Sales rose to 2.45 billion from 2.2 billion,rose,The rising of sales was from 2.2 billion to 2.45 billion
Some high-priced issues made a comeback Friday,made,Making a comeback Friday were some high priced issues
Some companies including Heinz even pay part of the fee,including,Inclusion in some companies that even pay part of the fee is Heinz
Sales fell 1.5 % to 884 million from 897.2 million,fell,Falling 1.5 % to 884 million from 897.2 million were sales
We do n't need the cash,do,N/A
I refer essentially to petroleum electric power banking and newsprint,refer,Referring essentially to petroleum electric power banking and newsprint is what I do
Says Mr. Steidtmann I 'm looking for a bi-polar Christmas,looking,The looking of a bi polar Christmas is being done by Mr Steidtmann
It all adds up to a cold winter here,adds,Adding up to a cold winter here is what it all does
Yet his political setbacks mounted,mounted,Mounting was yet was his political setbacks did
Today there are 77 units all located in shopping malls,located,The locating today of 77 units are all located in shopping malls
The current quarter he said looks fine,said,The saying that he thinks it looks fine is in regards to the current quarter
Unless the questions are answered I will keep on going,answered,The answering of questions will keep me from going on
Not everybody was making money,making,Making money is something not everybody was doing
Also the Big Board met with angry stock specialists,met,Meeting with angry stock specialists is what the Big Board also did
Kidder Peabody & Co. is trying to struggle back,struggle,Struggling back is what Kidder Peabody & Co. is trying to do
But Trelleborg still must clear some tough hurdles,clear,The clearing of some tough hurdles much still be done by Trelleborg
But observers expect broad support,expect,The expecting of broad support comes from observers
Nekoosa also is being advised by Goldman Sachs & Co,advised,Advising by Goldman Sachs & Co is also being done for Nekoosa
However for many managing speed does not come naturally,managing,Managing of speed does not come naturally for many however
Here are two cases to illustrate,illustrate,Illustrating it are two cases here
StatesWest asked Mesa to repond by Oct. 31,asked,Asking Mesa to respond by Oct 31 is what StatesWest did
Coors with its large beer-distribution network could penetrate more markets,penetrate,The penetrating of markets could be by Coors with its large beer distribution network
This market has been very badly damaged,damaged,The damaging of the market has been very badly
This conclusion he said restored the credibility of Tokyo stocks,restored,The restoring of the credibility of Tokyo stocks he said came from this conclusion
But some analysts wonder how strong the recovery will be,wonder,But wondering how strong the recovery will be are some analysts
THE PANHANDLER approaches makes his pitch,makes,Making his pitch is the panhandler as he approaches
"Advancing OTC stocks outpaced decliners by 1,120 to 806",Advancing,N/A
But investors do n't seem to think so,do,N/A
Some current rates exceed those on CDs,exceed,The exceeding of some current rates is over those on CDs
The government built ports bridges highways schools hospitals and railways,built,Building of ports bridges highways schools hospitals and railways is what the government did
They were absolutely killed slaughtered said one Chicago-based options trader,killed,"The killing they suffered was absolute, said one Chicago-based options trader."
The fundamentals do n't change in an hour he says,says,Saying The fundamentals do n't change in an hour is what he does
The report is to be released today,released,Releasing today is what will be done to the report
Estimated volume was three million ounces,Estimated,The estimating of three million ounces was for the volume
And there he was recalls Mr. Engelken,recalls,Recalling And there he was is what Mr. Engelken does
The devices ' most remarkable possibilities though involve the brain,involve,Involvement of the brain is found in the devices' most remarkable possibilities though
The country was renamed the Republic of Hungary,renamed,The renaming of the country was to the Republic of Hungary
Parts of the Houston Ship Channel were closed,closed,N/A
Names are resigning at an even faster pace this year,resigning,The resigning of names are at an even faster pace this year
They serve the industries and the special-interest groups,serve,The serving of industries and special interest groups is done by them
Revenue rose 5 % to 110.4 million from 105.4 million,rose,Rising 5 % to 110.4 million from 105.4 million was revenue
Milton Roy jumped 2 to 18 3\/8,jumped,The jump of Milton Roy was 2 to 18 3\/8
Limiting care wo n't be easy or popular,Limiting,N/A
In major market activity Stock prices rose in light trading,rose,Rising in light trading is what stock prices did in major market activity
Estimated and actual results involving losses are omitted,involving,The involving of losses are omitted in terms of estimated and actual results
The London Times said she had contravened protocol,said,The saying that she had contravened protocol came from The London Times
Eventually Mr. Postel broke his toe in the dark,broke,Breaking his toe in the dark is eventually what Mr Postel did
Proceeds will be used to eliminate and restructure bank debt,used,The using of the proceeds will be to eliminate and restructure bank debt
Its 1.7 million-share offering was priced at 15,priced,pricing of its 1.7 million-share offering was at 15
This news raised hopes for further interest-rate cuts,raised,The raising of hopes for further interest rate cuts was brought up by the news
He confers big trading commissions on Wall Street firms,confers,Conferring big trading commissions on Wall Street firms is what he does
Those who bought that illusion are now bewildered,bought,Buying that allusion left those who did now bewildered
I still say do n't look down,look,Looking down is what I still say do not do
Mr. Evans could n't be reached yesterday for comment,reached,Reaching Mr Evans yesterday for comment could not be done
The excess supply pushed gasoline prices down in that period,pushed,Pushing gasoline prices down in that period is what the excess supply did
As Wall Street strengthened the London trading room went wild,strengthened,The strengthening of Wall Street caused the London trading room to go wild
a reflects 2-for-1 stock split effective Dec. 30 1988,reflects,The reflecting for a 2 for 1 stock split is effective Dec 30 1988
The markets are returning to normalcy,returning,Returning to normalcy is what the markets are doing
Sales were 4.2 billion compared with 3.7 billion,compared,The comparison of sales was 4.2 billion with 3.7 billion
It flopped all around real dramatic,flopped,Flopping all around real dramatic is what it did
The firm was indicted in Tampa Fla. on money-laundering charges,indicted,The indicting of the firm in Tampa Fla was on money laundering charges
Qintex 's 1.5 billion pact to buy MGM\/UA collapsed recently,collapsed,The collapsing of Qintexs 1.5 billion pact to buy MGMVUA was recent
Those who bought that illusion are now bewildered,bewildered,The bewildering of those that bought the illusion is happening now
These errata do not affect business programs he said,affect,Affecting business programs is not what these errata do he said
FEDERAL PROSECUTORS are concluding fewer criminal cases with trials,concluding,The conclusion of fewer criminal cases with trials is what FEDERAL PROSECUTORS are doing
Her share decreases but only slightly,decreases,The decreasing of her share has only been slightly
I do n't talk about my work he says,do,N/A
This may sound strangely optimistic,sound,The sounding of this may be strangely optimistic
The group consists of Weslock Corp. and JPI Modern Inc,consists,Consisting of Weslock Corp and JPI Modern Inc is the group
Now those routes are n't expected to begin until Jan,begin,Beginning until Jan is now what those routes are n't expected to do
Northview officials could n't be located,located,Location of Northview officials could n't be done
Both Philip Morris and Backer Spielvogel declined to comment,comment,Commenting is what both Philip Morris and Backer Spielvogel declined to do
But Pfizer Inc. based in New York reported flat earnings,based,The basing in New York is Pfizer Inc who reported flat earnings
Par said it is cooperating in the investigation,cooperating,Cooperating in the investigation is what Par said it is doing
Himont Quantum and Union Carbide all declined to comment,declined,The declining of any comment came from Himont Quantum and Union Carbide
If you 're a technician you obey the signals,obey,The obeying of the signals is what you do if you're a technician
Norfolk Southern went up 1 1\/8 to 37 7\/8,went,Going up 1 1\/8 to 37 7\/8 was what Norfolk Southern did
Mr. Sukle says he would n't dream of participating himself,dream,Dreaming of participating himself is what Mr. Sukle says he would not do
Meanwhile the Treasury sold 9.75 billion of 52-week bills yesterday,sold,Selling 9.75 billion of 52-week bills yesterday is what the Treasury did meanwhile
A Guinness spokesman declined to comment,comment,Commenting is what a Guinness spokesman declined to do
But it has n't increased much relative to other assets,increased,The increasing of it has not been relative much to other assets
The Merksamer bankruptcy-law filing appears to supersede that agreement,appears,The appearance of superseding that agreement is caused by the Merksamer bankruptcy-law filing
What could imply more safety than investing in government bonds,imply,The implying of more safety is in investing in government bonds
I could n't afford to hire 16 whites,afford,Affording to hire 16 whites is what I could not do
The Japanese government does n't allow this,does,N/A
Millions of refugees would rush home,rush,The rush home would be done by millions of refugees
He now calls himself an investment banker,calls,The calling of himself an investment banker he something he does now
Revenue rose 25 % to 877.6 million from 702.4 million,rose,Rising 25 % to 877.6 million from 702.4 million was revenue
It adds something to the market,adds,The adding of it to the market is something
It was the opposite of what happened on Oct. 19,happened,The happening of it was the opposite of what occurred on Oct 19
In New York the company declined comment,declined,The declining of the comment came from the New York company
It 's hard to know if people are responding truthfully,know,Knowing if people are responding truthfully is what is hard to do
The Merksamer bankruptcy-law filing appears to supersede that agreement,supersede,Superseding that agreement was what the Merksamer bankruptcy-law filing appears to do
The offer made June 1 has been extended several times,made,N/A
Ortega had threatened to end a 19-month-old ceasefire,threatened,Threaten to end a 19-month-old ceasefire is what Ortega had done
Both reflect the dismissal of lower-level and shorter-tenure executives,reflect,Reflecting the dismissal of lower-level and shorter-tenure executives are both of them
His humility gives him a much better chance of success,gives,The giving of a much better chance of success to him comes from his humility
And if the Europeans come in they benefit too,benefit,The benefiting of Europeans could occur of they come too
They were absolutely killed slaughtered said one Chicago-based options trader,slaughtered,The slaughtering and killing of them absolutely happened said one Chicago-based options trader
The times are my times says Mr. Florio,says,Saying that The times are my times is what Mr. Florio does
But Ms. McCraw says the magazine is fighting back,fighting,The fighting back comes from the magazine Ms McCraw claims
Mr. Allday would succeed Martha Hesse who is resigning,resigning,Resigning is being done by Martha Heese who would be succeeded by Mr. Allday
We are a vanishing breed he muses,vanishing,A vanishing breed is what we are he muses
This conclusion he said restored the credibility of Tokyo stocks,said,Saying This conclusion restored the credibility of Tokyo stocks is what he did
Chrysler Corp. also hit the rocks in mid-October,hit,Hitting the rocks in mid-October was also Chrysler Corp
The service did n't identify its Tokyu sources,identify,The identifying of its Tokyo sources did not occur by the service
I find it very difficult to say that,say,The saying of that I find very difficult
Shortage and crisis became buzz words although neither really applied,became,Becoming buzz words although neither really applied were shortage and crisis
Now those routes are n't expected to begin until Jan,expected,The expecting of those routes isnt to begin until Jan
That followed a 3.3 % decline in August,followed,Following a 3.3 % decline in August was what that did
Revenue soared to 117 million from 81.5 million,soared,Soaring to 117 million from 81.5 million was revenue
Manufacturers too are stretching further to lure buyers,stretching,Stretching further to lure buyers is what manufacturers too are doing
Is he a victim of Gramm-Rudman cuts,Is,N/A
We 've got a lot to do he acknowledged,'ve,N/A
The price was n't disclosed,disclosed,The disclosing of the price did not occur
Were we smart or just lucky,Were,N/A
Terms of the agreement were n't given,given,Giving of the terms of the agreement was not done
And prosecutors declined to comment,declined,And declining to comment were the prosecutors
